frame_index,timestamp
0,2025-07-29 13:12:09.556266
1,2025-07-29 13:12:09.580726
2,2025-07-29 13:12:09.603831
3,2025-07-29 13:12:09.630159
4,2025-07-29 13:12:09.661261
5,2025-07-29 13:12:09.690858
6,2025-07-29 13:12:09.707519
7,2025-07-29 13:12:09.728270
8,2025-07-29 13:12:09.758086
9,2025-07-29 13:12:09.780076
10,2025-07-29 13:12:09.804375
11,2025-07-29 13:12:09.828544
12,2025-07-29 13:12:09.857427
13,2025-07-29 13:12:09.885688
14,2025-07-29 13:12:09.904588
15,2025-07-29 13:12:09.930098
16,2025-07-29 13:12:09.958443
17,2025-07-29 13:12:09.984149
18,2025-07-29 13:12:10.007493
19,2025-07-29 13:12:10.031459
20,2025-07-29 13:12:10.056933
21,2025-07-29 13:12:10.083230
22,2025-07-29 13:12:10.104475
23,2025-07-29 13:12:10.129941
24,2025-07-29 13:12:10.162120
25,2025-07-29 13:12:10.182414
26,2025-07-29 13:12:10.206523
27,2025-07-29 13:12:10.228551
28,2025-07-29 13:12:10.261220
29,2025-07-29 13:12:10.283205
30,2025-07-29 13:12:10.309613
31,2025-07-29 13:12:10.329840
32,2025-07-29 13:12:10.355507
33,2025-07-29 13:12:10.379843
34,2025-07-29 13:12:10.403856
35,2025-07-29 13:12:10.426974
36,2025-07-29 13:12:10.455456
37,2025-07-29 13:12:10.479479
38,2025-07-29 13:12:10.503119
39,2025-07-29 13:12:10.527307
40,2025-07-29 13:12:10.560609
41,2025-07-29 13:12:10.585043
42,2025-07-29 13:12:10.603137
43,2025-07-29 13:12:10.627499
44,2025-07-29 13:12:10.655125
45,2025-07-29 13:12:10.679091
46,2025-07-29 13:12:10.704077
47,2025-07-29 13:12:10.727116
48,2025-07-29 13:12:10.755041
49,2025-07-29 13:12:10.782451
50,2025-07-29 13:12:10.803561
51,2025-07-29 13:12:10.827006
52,2025-07-29 13:12:10.855120
53,2025-07-29 13:12:10.879009
54,2025-07-29 13:12:10.904133
55,2025-07-29 13:12:10.926983
56,2025-07-29 13:12:10.955147
57,2025-07-29 13:12:10.979143
58,2025-07-29 13:12:11.003121
59,2025-07-29 13:12:11.026988
60,2025-07-29 13:12:11.058787
61,2025-07-29 13:12:11.116214
62,2025-07-29 13:12:11.124610
63,2025-07-29 13:12:11.156953
64,2025-07-29 13:12:11.178219
65,2025-07-29 13:12:11.210775
66,2025-07-29 13:12:11.225614
67,2025-07-29 13:12:11.256308
68,2025-07-29 13:12:11.269483
69,2025-07-29 13:12:11.301275
70,2025-07-29 13:12:11.322686
71,2025-07-29 13:12:11.346687
72,2025-07-29 13:12:11.371038
73,2025-07-29 13:12:11.400527
74,2025-07-29 13:12:11.423368
75,2025-07-29 13:12:11.446884
76,2025-07-29 13:12:11.471082
77,2025-07-29 13:12:11.507455
78,2025-07-29 13:12:11.521516
79,2025-07-29 13:12:11.547280
80,2025-07-29 13:12:11.578922
81,2025-07-29 13:12:11.610722
82,2025-07-29 13:12:11.628978
83,2025-07-29 13:12:11.653857
84,2025-07-29 13:12:11.674371
85,2025-07-29 13:12:11.701203
86,2025-07-29 13:12:11.722566
87,2025-07-29 13:12:11.759248
88,2025-07-29 13:12:11.771489
89,2025-07-29 13:12:11.809692
90,2025-07-29 13:12:11.824188
91,2025-07-29 13:12:11.847514
92,2025-07-29 13:12:11.871081
93,2025-07-29 13:12:11.899595
94,2025-07-29 13:12:11.923022
95,2025-07-29 13:12:11.946915
96,2025-07-29 13:12:11.971058
97,2025-07-29 13:12:12.011283
98,2025-07-29 13:12:12.025522
99,2025-07-29 13:12:12.050998
100,2025-07-29 13:12:12.074774
101,2025-07-29 13:12:12.101500
102,2025-07-29 13:12:12.128212
103,2025-07-29 13:12:12.154620
104,2025-07-29 13:12:12.176636
105,2025-07-29 13:12:12.203338
106,2025-07-29 13:12:12.230183
107,2025-07-29 13:12:12.260685
108,2025-07-29 13:12:12.275675
109,2025-07-29 13:12:12.305063
110,2025-07-29 13:12:12.327048
111,2025-07-29 13:12:12.347440
112,2025-07-29 13:12:12.377585
113,2025-07-29 13:12:12.405095
114,2025-07-29 13:12:12.428667
115,2025-07-29 13:12:12.447748
116,2025-07-29 13:12:12.471063
117,2025-07-29 13:12:12.501387
118,2025-07-29 13:12:12.522926
119,2025-07-29 13:12:12.547105
120,2025-07-29 13:12:12.571417
121,2025-07-29 13:12:12.607380
122,2025-07-29 13:12:12.623692
123,2025-07-29 13:12:12.648091
124,2025-07-29 13:12:12.672815
125,2025-07-29 13:12:12.702225
126,2025-07-29 13:12:12.724556
127,2025-07-29 13:12:12.748594
128,2025-07-29 13:12:12.773292
129,2025-07-29 13:12:12.802422
130,2025-07-29 13:12:12.824467
131,2025-07-29 13:12:12.848525
132,2025-07-29 13:12:12.872796
133,2025-07-29 13:12:12.910835
134,2025-07-29 13:12:12.929841
135,2025-07-29 13:12:12.949230
136,2025-07-29 13:12:12.972896
137,2025-07-29 13:12:13.002801
138,2025-07-29 13:12:13.024253
139,2025-07-29 13:12:13.048555
140,2025-07-29 13:12:13.072062
141,2025-07-29 13:12:13.106031
142,2025-07-29 13:12:13.126824
143,2025-07-29 13:12:13.148127
144,2025-07-29 13:12:13.179416
145,2025-07-29 13:12:13.205634
146,2025-07-29 13:12:13.228991
147,2025-07-29 13:12:13.264622
148,2025-07-29 13:12:13.278228
149,2025-07-29 13:12:13.302084
150,2025-07-29 13:12:13.329995
151,2025-07-29 13:12:13.353573
152,2025-07-29 13:12:13.378005
153,2025-07-29 13:12:13.408937
154,2025-07-29 13:12:13.433294
155,2025-07-29 13:12:13.452857
156,2025-07-29 13:12:13.484612
157,2025-07-29 13:12:13.508537
158,2025-07-29 13:12:13.525519
159,2025-07-29 13:12:13.555562
160,2025-07-29 13:12:13.576131
161,2025-07-29 13:12:13.607709
162,2025-07-29 13:12:13.627124
163,2025-07-29 13:12:13.652980
164,2025-07-29 13:12:13.672728
165,2025-07-29 13:12:13.707608
166,2025-07-29 13:12:13.725170
167,2025-07-29 13:12:13.747225
168,2025-07-29 13:12:13.781600
169,2025-07-29 13:12:13.804800
170,2025-07-29 13:12:13.826092
171,2025-07-29 13:12:13.848512
172,2025-07-29 13:12:13.872525
173,2025-07-29 13:12:13.905222
174,2025-07-29 13:12:13.929315
175,2025-07-29 13:12:13.958145
176,2025-07-29 13:12:13.979317
177,2025-07-29 13:12:14.005786
178,2025-07-29 13:12:14.030414
179,2025-07-29 13:12:14.057888
180,2025-07-29 13:12:14.074664
181,2025-07-29 13:12:14.101947
182,2025-07-29 13:12:14.132305
183,2025-07-29 13:12:14.151442
184,2025-07-29 13:12:14.216747
185,2025-07-29 13:12:14.232281
186,2025-07-29 13:12:14.252088
187,2025-07-29 13:12:14.282806
188,2025-07-29 13:12:14.299796
189,2025-07-29 13:12:14.332222
190,2025-07-29 13:12:14.355438
191,2025-07-29 13:12:14.380888
192,2025-07-29 13:12:14.411852
193,2025-07-29 13:12:14.427369
194,2025-07-29 13:12:14.453255
195,2025-07-29 13:12:14.475737
196,2025-07-29 13:12:14.498621
197,2025-07-29 13:12:14.522853
198,2025-07-29 13:12:14.546970
199,2025-07-29 13:12:14.576495
200,2025-07-29 13:12:14.598853
201,2025-07-29 13:12:14.622867
202,2025-07-29 13:12:14.647063
203,2025-07-29 13:12:14.676299
204,2025-07-29 13:12:14.699188
205,2025-07-29 13:12:14.722763
206,2025-07-29 13:12:14.753201
207,2025-07-29 13:12:14.775898
208,2025-07-29 13:12:14.807428
209,2025-07-29 13:12:14.828717
210,2025-07-29 13:12:14.851415
211,2025-07-29 13:12:14.878301
212,2025-07-29 13:12:14.904755
213,2025-07-29 13:12:14.926753
214,2025-07-29 13:12:14.948909
215,2025-07-29 13:12:14.979901
216,2025-07-29 13:12:15.033502
217,2025-07-29 13:12:15.045841
218,2025-07-29 13:12:15.080267
219,2025-07-29 13:12:15.100085
220,2025-07-29 13:12:15.126923
221,2025-07-29 13:12:15.146065
222,2025-07-29 13:12:15.185710
223,2025-07-29 13:12:15.202411
224,2025-07-29 13:12:15.222284
225,2025-07-29 13:12:15.249307
226,2025-07-29 13:12:15.275677
227,2025-07-29 13:12:15.298354
228,2025-07-29 13:12:15.323063
229,2025-07-29 13:12:15.347729
230,2025-07-29 13:12:15.376978
231,2025-07-29 13:12:15.398445
232,2025-07-29 13:12:15.423456
233,2025-07-29 13:12:15.446299
